Name                                                                                                   Stmts   Miss  Cover
--------------------------------------------------------------------------------------------------------------------------
pkrdatamapper/PokerDataMapper/__init__.py                                                                  0      0   100%
pkrdatamapper/PokerDataMapper/asgi.py                                                                      4      4     0%
pkrdatamapper/PokerDataMapper/db_config.py                                                                 6      6     0%
pkrdatamapper/PokerDataMapper/env_settings.py                                                              2      2     0%
pkrdatamapper/PokerDataMapper/settings.py                                                                 26     26     0%
pkrdatamapper/PokerDataMapper/urls.py                                                                      3      3     0%
pkrdatamapper/PokerDataMapper/wsgi.py                                                                      4      4     0%
pkrdatamapper/__init__.py                                                                                  0      0   100%
pkrdatamapper/actions/__init__.py                                                                          0      0   100%
pkrdatamapper/actions/action_move/__init__.py                                                              0      0   100%
pkrdatamapper/actions/action_move/models.py                                                               28     28     0%
pkrdatamapper/actions/actions_sequence/__init__.py                                                         0      0   100%
pkrdatamapper/actions/actions_sequence/models.py                                                          18     18     0%
pkrdatamapper/actions/admin.py                                                                             1      1     0%
pkrdatamapper/actions/apps.py                                                                              4      4     0%
pkrdatamapper/actions/blind_type/__init__.py                                                               0      0   100%
pkrdatamapper/actions/blind_type/models.py                                                                22     22     0%
pkrdatamapper/actions/migrations/0001_initial.py                                                           5      5     0%
pkrdatamapper/actions/migrations/__init__.py                                                               0      0   100%
pkrdatamapper/actions/models.py                                                                            4      4     0%
pkrdatamapper/actions/populate_db.py                                                                      13     13     0%
pkrdatamapper/actions/street/__init__.py                                                                   0      0   100%
pkrdatamapper/actions/street/models.py                                                                    25     25     0%
pkrdatamapper/actions/tests.py                                                                             1      1     0%
pkrdatamapper/actions/views.py                                                                             1      1     0%
pkrdatamapper/cards/__init__.py                                                                            0      0   100%
pkrdatamapper/cards/admin.py                                                                               1      1     0%
pkrdatamapper/cards/apps.py                                                                                4      4     0%
pkrdatamapper/cards/card/__init__.py                                                                       0      0   100%
pkrdatamapper/cards/card/models.py                                                                        35     35     0%
pkrdatamapper/cards/combo/__init__.py                                                                      0      0   100%
pkrdatamapper/cards/combo/models.py                                                                       32     32     0%
pkrdatamapper/cards/flop/__init__.py                                                                       0      0   100%
pkrdatamapper/cards/flop/models.py                                                                        44     44     0%
pkrdatamapper/cards/hand/__init__.py                                                                       0      0   100%
pkrdatamapper/cards/hand/models.py                                                                        39     39     0%
pkrdatamapper/cards/migrations/0001_initial.py                                                             6      6     0%
pkrdatamapper/cards/migrations/__init__.py                                                                 0      0   100%
pkrdatamapper/cards/models.py                                                                              7      7     0%
pkrdatamapper/cards/populate_db.py                                                                        17     17     0%
pkrdatamapper/cards/rank/__init__.py                                                                       0      0   100%
pkrdatamapper/cards/rank/models.py                                                                        26     26     0%
pkrdatamapper/cards/shape/__init__.py                                                                      0      0   100%
pkrdatamapper/cards/shape/models.py                                                                       27     27     0%
pkrdatamapper/cards/signals.py                                                                            26     26     0%
pkrdatamapper/cards/suit/__init__.py                                                                       0      0   100%
pkrdatamapper/cards/suit/models.py                                                                        24     24     0%
pkrdatamapper/cards/suit/tests.py                                                                         28     28     0%
pkrdatamapper/cards/tests.py                                                                               1      1     0%
pkrdatamapper/cards/views.py                                                                               1      1     0%
pkrdatamapper/common/__init__.py                                                                           0      0   100%
pkrdatamapper/common/fields.py                                                                            19     19     0%
pkrdatamapper/common/mixins.py                                                                            18     18     0%
pkrdatamapper/data_mapper/__init__.py                                                                      0      0   100%
